,Elapsed time,P6 (kPa),P1 (kPa),P2 (kPa),P3 (kPa),P4 (kPa),P5 (kPa),Air Flow (L/s),Water Flow (L/s)
4,18:13:28.743000,9.44,-0.819,259.682,76.781,69.529,43.396,0.068,2.226
8,18:13:29.145000,9.366,-0.081,258.684,76.513,69.286,42.899,0.058,2.162
12,18:13:29.544000,9.181,-0.214,259.613,76.847,69.376,42.936,0.052,2.143
16,18:13:29.945000,9.97,-0.822,256.197,80.867,73.823,45.922,0.135,2.266
20,18:13:30.344000,9.726,-0.574,254.073,78.699,70.506,43.392,0.079,2.35
25,18:13:30.844000,9.477,-0.812,254.595,77.235,69.598,43.617,0.054,2.408
30,18:13:31.345000,9.626,-0.293,255.222,79.071,71.032,43.901,0.053,2.427
35,18:13:31.844000,9.312,-0.162,254.605,78.541,70.443,44.115,0.058,2.396
40,18:13:32.344000,9.672,-0.105,256.488,78.034,70.612,43.109,0.057,2.403
50,18:13:33.345000,9.518,-0.549,254.631,78.537,70.788,43.883,0.054,2.273
55,18:13:33.846000,9.454,-0.392,256.865,78.71,70.108,43.298,0.058,2.252
60,18:13:34.346000,9.442,-0.633,255.756,78.107,70.196,43.188,0.055,2.308
65,18:13:34.845000,9.158,-0.763,256.578,78.693,70.316,42.48,0.139,2.253
70,18:13:35.345000,9.274,-0.807,258.027,77.676,69.647,43.443,0.246,2.201
75,18:13:35.845000,9.055,-1.554,257.774,77.547,69.294,42.787,0.249,2.258
80,18:13:36.344000,9.163,-1.705,257.072,78.227,69.997,42.212,0.066,2.249
85,18:13:36.844000,9.108,-1.965,257.274,78.381,70.21,42.895,0.059,2.229
90,18:13:37.345000,9.113,-2.819,258.316,78.699,70.275,41.474,0.166,2.302
95,18:13:37.852000,9.054,-2.48,256.774,77.589,69.913,42.388,0.059,2.249
100,18:13:38.348000,8.763,-3.791,257.483,77.817,70.322,42.931,0.05,2.176
105,18:13:38.844000,8.648,-3.561,258.519,77.822,69.886,41.945,0.058,2.243
110,18:13:39.346000,9.067,-3.196,257.55,77.977,70.287,41.977,0.047,2.321
115,18:13:39.844000,8.812,-4.157,257.182,77.065,69.693,41.919,0.048,2.339
120,18:13:40.344000,8.648,-4.024,257.736,77.111,69.959,42.595,0.062,2.213
125,18:13:40.845000,8.713,-3.666,258.296,77.037,69.983,41.983,0.056,2.139
130,18:13:41.344000,8.83,-3.64,258.846,77.038,70.179,42.244,0.046,2.1
140,18:13:42.346000,8.36,-2.986,258.068,76.513,69.939,42.692,0.035,2.318
145,18:13:42.846000,8.418,-3.852,258.776,76.984,69.982,42.431,0.049,2.267
150,18:13:43.345000,8.3,-3.278,258.528,76.451,69.933,43.376,0.051,2.136
155,18:13:43.845000,8.781,-3.2,258.624,77.107,70.324,42.681,0.045,2.139
160,18:13:44.346000,8.308,-3.527,257.746,76.447,69.996,42.619,0.05,2.276
165,18:13:44.846000,8.698,-3.48,258.092,76.83,70.239,42.66,0.127,2.338
170,18:13:45.346000,8.571,-2.746,258.214,76.711,69.797,42.301,0.05,2.173
175,18:13:45.845000,8.671,-3.489,259.118,76.571,69.806,42.403,0.048,2.127
180,18:13:46.345000,9.044,-3.24,259.395,76.909,69.723,42.799,0.062,2.184
185,18:13:46.845000,8.934,-2.389,258.171,76.532,69.883,42.562,0.046,2.235
190,18:13:47.345000,8.839,-3.022,258.063,76.055,69.745,43.024,0.122,2.199
195,18:13:47.846000,9.097,-2.817,258.612,76.378,70.082,42.54,0.222,2.167
200,18:13:48.346000,8.948,-2.551,258.592,76.23,69.674,42.346,0.155,2.202
205,18:13:48.845000,8.783,-2.81,257.931,76.759,70.249,44.443,0.136,2.219
210,18:13:49.346000,9.287,-2.691,258.941,76.77,69.568,43.634,0.06,2.196
215,18:13:49.846000,9.146,-2.71,259.7,76.908,69.714,42.611,0.054,2.135
220,18:13:50.346000,9.524,-2.161,257.467,77.543,70.55,42.991,0.056,2.124
225,18:13:50.846000,8.829,-1.965,257.635,75.726,69.388,44.316,0.052,2.233
230,18:13:51.346000,9.104,-1.688,257.476,77.225,69.931,43.115,0.055,2.326
235,18:13:51.845000,9.268,-2.006,258.41,77.49,70.16,42.775,0.169,2.348
240,18:13:52.346000,9.231,-1.543,256.99,76.652,70.073,43.258,0.073,2.299
245,18:13:52.846000,9.259,-1.749,258.018,76.994,70.363,43.999,0.058,2.323
250,18:13:53.346000,9.276,-1.593,257.686,77.179,69.866,42.936,0.059,2.264
255,18:13:53.848000,9.291,-1.156,257.769,77.291,69.91,43.426,0.053,2.182
260,18:13:54.346000,13.987,-0.118,267.803,121.321,115.259,65.955,0.134,2.204
265,18:13:54.845000,14.536,-0.602,264.537,107.659,90.119,54.272,0.779,2.095
270,18:13:55.346000,14.965,-1.004,262.856,103.535,86.177,51.425,2.197,2.014
275,18:13:55.845000,15.068,-0.627,263.272,106.263,92.11,55.157,3.484,2.096
280,18:13:56.347000,19.777,0.113,268.247,130.241,111.353,70.363,4.427,2.171
285,18:13:56.848000,27.638,0.235,268.798,128.469,112.799,77.201,4.869,2.082
290,18:13:57.345000,31.239,0.008,267.554,126.694,107.744,76.896,5.336,1.926
295,18:13:57.846000,35.569,-0.041,267.799,120.144,101.326,72.255,5.691,1.902
300,18:13:58.346000,21.796,-0.086,265.426,115.316,91.608,66.553,6.232,1.983
305,18:13:58.846000,35.85,0.457,265.895,108.353,92.572,61.133,7.01,2.039
310,18:13:59.346000,45.913,-0.046,266.296,107.664,73.97,68.861,7.825,2.057
315,18:13:59.846000,43.005,0.977,262.661,107.901,87.236,48.919,7.974,2.07
320,18:14:00.347000,22.152,0.639,262.105,98.801,83.593,53.445,7.939,2.038
325,18:14:00.848000,17.681,0.172,260.736,89.561,75.46,51.365,7.566,1.978
330,18:14:01.347000,8.862,0.006,260.729,86.185,69.047,41.252,7.062,2.063
335,18:14:01.847000,16.457,0.227,261.243,83.507,67.921,42.503,6.666,2.081
340,18:14:02.348000,23.768,0.283,262.595,94.652,75.75,47.062,7.102,2.07
345,18:14:02.846000,29.355,0.566,264.085,104.197,87.288,55.233,7.985,2.181
350,18:14:03.345000,16.788,0.631,265.656,110.851,90.688,60.896,9.06,2.188
355,18:14:03.846000,12.988,0.29,266.434,112.592,88.62,67.185,9.585,2.072
360,18:14:04.347000,46.891,0.346,266.867,112.713,92.524,50.909,9.859,1.998
365,18:14:04.847000,44.159,0.668,266.917,112.013,97.701,51.199,10.185,1.99
370,18:14:05.347000,36.336,0.639,266.005,112.943,87.638,78.409,10.512,2.011
375,18:14:05.847000,20.55,0.445,266.441,115.836,95.692,71.239,10.781,2.052
380,18:14:06.348000,16.487,-0.381,267.152,111.736,80.926,64.684,10.769,2.091
385,18:14:06.845000,25.411,-0.471,265.22,104.178,91.853,47.266,10.9,2.107
390,18:14:07.347000,33.024,-0.823,266.54,110.691,91.137,48.43,10.828,2.117
395,18:14:07.844000,17.823,-0.404,264.682,104.235,89.184,71.031,10.866,2.033
400,18:14:08.344000,15.589,-2.385,265.299,97.088,74.043,72.619,10.957,1.928
405,18:14:08.844000,11.894,-1.833,264.417,108.004,75.235,51.884,10.922,1.975
410,18:14:09.344000,28.404,-3.169,265.835,97.025,83.552,42.978,10.898,1.979
415,18:14:09.845000,42.33,-3.194,265.452,100.336,72.942,73.696,10.831,1.985
420,18:14:10.344000,44.916,-2.878,265.453,101.747,86.774,47.94,10.792,1.983
425,18:14:10.846000,49.2,-3.316,265.229,100.136,79.865,55.142,10.69,2.016
430,18:14:11.344000,12.366,-3.306,266.969,108.249,80.513,64.26,10.812,2.073
435,18:14:11.845000,9.809,-2.984,266.13,103.48,88.509,59.73,10.817,2.019
440,18:14:12.345000,43.366,-2.625,265.863,103.712,81.552,52.906,10.799,1.972
445,18:14:12.844000,28.128,-3.174,265.667,103.085,94.863,55.428,10.731,1.991
450,18:14:13.352000,50.485,-2.489,265.772,91.799,72.084,63.324,10.705,2.014
455,18:14:13.852000,11.849,-2.665,265.013,97.226,82.811,44.053,10.823,2.078
465,18:14:14.843000,8.789,-2.2,265.577,111.638,92.93,64.051,10.82,2.114
470,18:14:15.344000,26.064,-2.347,266.259,106.85,86.039,61.561,10.829,2.035
475,18:14:15.844000,41.629,-2.309,267.323,105.338,83.325,44.591,10.827,2.047
480,18:14:16.350000,20.037,-2.133,264.757,107.931,85.677,60.723,10.809,2.024
485,18:14:16.844000,29.528,-1.923,266.485,104.608,77.316,66.725,10.818,2.059
490,18:14:17.344000,15.477,-1.737,265.835,107.655,75.084,60.079,10.807,2.096
495,18:14:17.845000,25.229,-1.989,265.749,100.388,86.32,69.605,10.813,2.037
500,18:14:18.344000,22.917,-2.141,265.735,109.056,74.296,70.682,10.851,2.014
505,18:14:18.844000,18.162,-2.053,264.614,98.595,88.473,34.403,10.877,1.975
510,18:14:19.345000,45.41,-1.659,265.597,101.782,78.1,60.266,10.833,1.97
515,18:14:19.845000,34.522,-1.485,266.14,100.564,81.2,53.737,11.135,2.039
520,18:14:20.345000,17.162,-0.959,264.367,103.126,87.741,67.645,10.969,2.045
525,18:14:20.845000,21.393,-1.198,265.953,107.7,93.6,61.428,10.973,1.983
530,18:14:21.345000,33.896,-1.488,265.909,104.533,93.027,48.231,11.041,1.978
535,18:14:21.844000,28.801,-0.858,266.729,109.056,79.6,63.376,10.953,2.0
540,18:14:22.345000,17.381,-0.743,264.092,101.919,81.079,69.02,10.813,2.025
545,18:14:22.845000,16.249,-0.925,265.174,107.754,84.818,66.876,10.676,2.089
550,18:14:23.348000,17.116,-0.48,264.893,105.457,88.876,62.961,10.681,2.099
555,18:14:23.844000,11.748,-0.435,265.585,101.016,81.844,58.368,10.259,2.067
560,18:14:24.344000,7.792,-0.848,260.707,83.393,66.708,35.939,9.292,2.077
565,18:14:24.846000,25.028,-1.064,261.823,80.214,69.688,32.823,8.318,2.125
570,18:14:25.344000,7.71,-1.107,262.063,80.627,73.268,42.808,7.966,2.075
575,18:14:25.844000,11.731,-0.686,261.427,86.374,71.481,58.21,7.9,2.054
580,18:14:26.346000,6.571,-1.152,262.448,97.411,74.985,40.656,7.977,2.133
585,18:14:26.845000,36.441,-0.43,261.73,87.518,69.266,61.301,7.95,2.143
590,18:14:27.345000,12.827,-0.593,261.7,95.263,71.432,41.092,7.901,2.097
595,18:14:27.845000,29.426,-0.265,262.151,91.407,76.214,43.001,7.958,2.149
600,18:14:28.347000,13.429,0.106,262.461,99.288,80.218,56.546,7.918,2.181
605,18:14:28.845000,35.518,0.356,262.361,97.544,65.568,64.509,7.888,2.196
610,18:14:29.345000,22.55,-0.166,262.401,94.261,72.761,34.633,7.845,2.221
615,18:14:29.846000,27.205,-0.27,263.067,93.077,67.298,47.134,7.908,2.189
620,18:14:30.365000,36.991,0.377,263.626,108.836,91.599,52.67,8.447,2.124
625,18:14:30.849000,34.59,0.603,265.241,116.312,97.244,63.08,9.574,2.067
630,18:14:31.347000,21.94,0.706,266.734,118.038,102.753,79.981,11.072,2.014
635,18:14:31.849000,33.268,0.735,268.802,128.662,99.289,88.381,12.071,2.01
640,18:14:32.346000,28.094,0.634,267.643,121.414,96.42,73.942,12.442,2.081
645,18:14:32.846000,36.062,0.51,266.869,124.053,98.802,78.774,12.493,2.078
650,18:14:33.345000,25.964,0.692,267.346,112.681,103.424,75.573,12.465,1.948
655,18:14:33.844000,68.432,1.361,268.065,110.352,77.347,71.211,12.609,1.877
660,18:14:34.347000,33.64,0.435,267.081,108.6,96.194,47.097,12.679,1.933
665,18:14:34.845000,55.671,-0.15,266.424,112.106,99.054,55.26,12.696,1.959
670,18:14:35.346000,57.528,0.463,265.732,100.776,91.508,60.738,12.689,1.941
675,18:14:35.846000,49.841,0.145,266.901,107.156,64.731,52.748,12.75,1.997
680,18:14:36.345000,55.025,-0.5,266.311,112.526,93.326,60.584,12.63,2.025
685,18:14:36.843000,53.605,-0.377,267.251,115.435,91.708,59.233,12.86,1.937
690,18:14:37.343000,28.33,-0.66,269.295,113.752,85.977,62.926,12.891,1.92
695,18:14:37.844000,28.234,-0.836,265.99,108.108,85.082,56.222,12.964,1.996
700,18:14:38.345000,35.924,-2.021,265.948,110.359,87.166,49.14,12.913,1.999
705,18:14:38.843000,47.594,-2.399,265.593,104.507,81.578,83.843,12.924,1.971
710,18:14:39.344000,23.437,-2.503,267.028,105.442,85.58,40.795,13.018,1.967
715,18:14:39.847000,17.962,-2.944,267.422,106.206,87.977,49.582,12.927,2.05
720,18:14:40.346000,39.807,-2.476,267.138,116.109,82.542,57.117,12.929,2.076
725,18:14:40.845000,15.802,-2.498,268.499,110.184,78.619,68.617,12.821,2.068
730,18:14:41.345000,10.465,-2.788,268.075,110.967,92.46,64.34,12.759,1.982
735,18:14:41.845000,10.825,-2.445,268.365,100.726,93.024,67.536,12.687,1.99
740,18:14:42.345000,44.854,-2.202,265.517,102.519,91.893,52.055,12.758,2.022
745,18:14:42.846000,41.557,-2.369,265.646,95.406,80.958,57.634,12.806,2.017
750,18:14:43.366000,41.08,-2.192,267.5,113.677,82.701,47.127,12.797,2.086
755,18:14:43.849000,37.798,-2.426,266.783,110.428,95.428,59.202,12.752,2.107
760,18:14:44.344000,12.989,-1.908,267.233,113.114,84.586,53.556,12.698,2.042
765,18:14:44.844000,17.244,-1.717,268.274,102.205,85.511,80.081,12.759,1.999
770,18:14:45.345000,17.964,-2.306,266.199,112.769,90.168,37.895,12.778,1.968
775,18:14:45.843000,44.724,-1.859,267.387,103.76,82.897,49.121,12.799,1.949
780,18:14:46.344000,20.393,-1.688,267.191,105.645,88.042,58.425,12.761,1.986
785,18:14:46.845000,31.422,-1.886,267.413,111.644,73.562,79.186,12.837,2.043
790,18:14:47.346000,12.39,-1.031,267.541,117.402,92.123,53.978,12.807,2.054
795,18:14:47.846000,26.823,-1.91,266.513,102.159,91.202,67.943,12.69,2.032
800,18:14:48.345000,10.014,-1.187,266.123,113.054,95.204,48.804,12.687,2.008
805,18:14:48.846000,18.802,-0.674,268.153,112.082,89.283,68.051,12.711,2.035
810,18:14:49.345000,32.369,-1.623,267.086,112.904,82.333,66.615,12.919,2.078
815,18:14:49.854000,14.1,-0.877,266.011,104.667,92.229,59.911,12.784,2.075
820,18:14:50.349000,24.276,-1.394,261.824,86.258,74.468,33.032,11.573,2.054
825,18:14:50.845000,25.276,-1.916,258.203,67.858,54.353,37.22,9.342,2.113
830,18:14:51.344000,-1.098,-1.542,258.95,69.28,45.368,33.215,7.421,2.081
835,18:14:51.844000,16.966,-1.824,259.126,62.76,52.439,24.895,6.615,2.092
840,18:14:52.346000,19.006,-1.193,258.441,73.93,57.246,45.365,6.402,2.228
845,18:14:52.846000,24.353,-1.177,258.849,79.324,54.659,46.38,6.561,2.303
850,18:14:53.346000,12.378,-1.191,260.784,82.559,70.128,30.325,6.632,2.274
855,18:14:53.846000,7.85,-0.585,261.879,83.159,68.684,40.701,6.586,2.208
860,18:14:54.347000,13.531,-0.518,260.913,86.391,70.292,51.978,6.411,2.128
865,18:14:54.845000,27.232,0.086,261.586,87.128,63.615,48.412,6.244,2.164
870,18:14:55.347000,23.946,-0.812,260.791,85.122,68.454,36.313,6.278,2.157
875,18:14:55.843000,23.266,-0.468,260.898,81.273,74.561,41.565,6.274,2.133
880,18:14:56.342000,17.849,0.277,260.698,87.909,70.423,51.613,6.263,2.172
885,18:14:56.842000,15.671,-0.245,261.31,88.011,73.049,46.901,6.198,2.165
890,18:14:57.342000,10.619,0.454,261.926,86.309,72.282,42.08,6.159,2.184
895,18:14:57.844000,30.585,-0.042,261.463,80.613,73.264,53.263,6.205,2.199
900,18:14:58.343000,15.462,0.509,261.13,90.392,69.45,41.037,6.21,2.167
905,18:14:58.844000,11.359,0.469,260.275,84.001,64.323,47.922,6.265,2.176
